Round	Level	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	2	audio	color	yellow	False	1	1	b2	color	shape	number	yellow	circle	two	0	1	0
2	2	audio	number	one	False	1	0	b3	number	color	shape	one	yellow	triangle	0	2	0
3	2	audio	color	red	True	0	0	b1	color	number	shape	red	four	triangle	1	2	0
4	2	audio	shape	triangle	True	0	0	b2	shape	color	number	triangle	yellow	one	2	2	0
5	2	audio	number	four	False	2	0	b2	number	shape	color	four	circle	green	2	2	1
6	2	audio	shape	circle	False	2	2	b2	shape	color	number	circle	yellow	two	2	2	2
7	2	audio	number	one	True	0	2	b1	number	shape	color	one	star	green	3	2	2
8	3	text	number	one	False	1	4	b3	color	number	shape	blue	one	star	3	3	2
9	3	text	color	yellow	False	2	6	b3	shape	color	number	cross	yellow	two	3	3	3
10	3	text	color	yellow	False	2	6	b3	number	color	shape	one	yellow	cross	3	3	4
11	3	text	color	red	False	2	6	b3	number	color	shape	two	red	cross	3	3	5
12	3	text	color	green	False	2	1	b4	number	color	shape	four	green	cross	3	3	6
13	3	text	shape	circle	True	0	5	b1	number	shape	color	three	circle	yellow	4	3	6
14	3	text	shape	star	True	0	1	b4	color	shape	number	blue	star	two	5	3	6
15	3	text	color	green	True	0	1	b2	shape	color	number	star	green	three	6	3	6
16	0	visual	number	one	True	0	3	b1	color	shape	number	red	circle	one	7	3	6
17	0	visual	number	one	True	0	1	b1	color	shape	number	red	circle	one	8	3	6
18	0	visual	shape	circle	True	0	0	b1	number	color	shape	one	red	circle	9	3	6
19	0	visual	color	red	True	0	0	b1	shape	number	color	circle	one	red	10	3	6
20	0	visual	number	one	True	0	0	b1	shape	color	number	circle	red	one	11	3	6
21	0	visual	number	one	True	0	0	b1	shape	color	number	circle	red	one	12	3	6
22	0	visual	color	red	True	0	0	b1	number	shape	color	one	circle	red	13	3	6
23	0	visual	color	red	True	0	0	b1	number	shape	color	one	circle	red	14	3	6
24	2	audio	number	one	True	0	0	b1	number	color	shape	one	yellow	triangle	15	3	6
25	2	audio	color	red	True	0	0	b1	color	shape	number	red	star	two	16	3	6
26	2	audio	number	four	False	2	4	b1	number	color	shape	four	red	triangle	16	3	7
27	2	audio	shape	circle	False	2	6	b1	shape	number	color	circle	two	yellow	16	3	8
28	2	audio	color	green	True	0	1	b2	color	shape	number	green	circle	four	17	3	8
29	2	audio	number	two	True	0	2	b2	number	color	shape	two	red	star	18	3	8
30	2	audio	color	green	True	0	1	b2	color	shape	number	green	star	one	19	3	8
31	2	audio	number	four	False	2	1	b2	number	color	shape	four	red	triangle	19	3	9
32	2	audio	shape	triangle	True	0	2	b2	shape	number	color	triangle	one	yellow	20	3	9
33	2	audio	shape	triangle	True	0	1	b2	shape	number	color	triangle	one	yellow	21	3	9
34	2	audio	color	red	True	0	1	b1	color	number	shape	red	four	triangle	22	3	9
35	2	audio	color	green	False	2	1	b1	color	number	shape	green	one	star	22	3	10
36	2	audio	shape	star	True	0	2	b4	shape	number	color	star	one	green	23	3	10
37	2	audio	number	four	True	0	1	b4	number	shape	color	four	triangle	red	24	3	10
38	2	audio	number	one	False	2	2	b2	number	shape	color	one	star	green	24	3	11
39	2	audio	shape	circle	True	0	1	b1	shape	number	color	circle	four	green	25	3	11
40	2	text	number	two	True	0	5	b2	shape	number	color	circle	two	blue	26	3	11
41	2	text	shape	triangle	False	1	2	b4	color	shape	number	blue	triangle	one	26	4	11
42	2	text	shape	circle	True	0	3	b1	color	shape	number	blue	circle	two	27	4	11
43	2	text	number	three	False	2	6	b1	color	number	shape	green	three	circle	27	4	12
44	2	text	number	one	False	2	2	b3	shape	number	color	cross	one	green	27	4	13
45	2	text	number	three	True	0	1	b3	shape	number	color	triangle	three	red	28	4	13
46	2	text	number	one	True	0	1	b1	shape	number	color	cross	one	green	29	4	13
47	2	text	number	three	True	0	2	b3	color	number	shape	green	three	circle	30	4	13
48	0	audio	color	yellow	False	1	6	b3	color	number	shape	yellow	four	star	30	5	13
48	0	audio	color	yellow	False	2	6	b3	color	number	shape	yellow	four	star	30	5	14
50	0	audio	shape	star	False	2	5	b2	shape	number	color	star	four	yellow	30	5	15
51	0	audio	shape	star	True	0	1	b4	shape	color	number	star	yellow	four	31	5	15
52	0	audio	color	yellow	False	2	3	b3	color	number	shape	yellow	four	star	31	5	16
53	0	audio	color	yellow	False	2	1	b2	color	number	shape	yellow	four	star	31	5	17
54	0	audio	shape	star	False	2	1	b1	shape	number	color	star	four	yellow	31	5	18
55	0	audio	color	yellow	True	0	1	b4	color	shape	number	yellow	star	four	32	5	18
56	0	text	color	green	True	0	1	b2	shape	color	number	triangle	green	two	33	5	18
57	0	text	shape	triangle	True	0	1	b2	color	shape	number	green	triangle	two	34	5	18
58	0	text	shape	triangle	True	0	2	b2	number	shape	color	two	triangle	green	35	5	18
59	0	text	color	green	True	0	2	b2	number	color	shape	two	green	triangle	36	5	18
60	0	text	shape	triangle	True	0	0	b2	number	shape	color	two	triangle	green	37	5	18
61	0	text	number	two	True	0	0	b2	color	number	shape	green	two	triangle	38	5	18
62	0	text	color	green	True	0	0	b2	number	color	shape	two	green	triangle	39	5	18
63	0	text	number	two	True	0	0	b2	color	number	shape	green	two	triangle	40	5	18
63	0	text	number	two	True	0	0	b2	color	number	shape	green	two	triangle	41	5	18
