Round	Level	 Score	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	1	2.0	audio	number	three	True	0	1	b3	number	color	shape	three	yellow	star	1	0	0
2	1	3.0	audio	number	four	True	0	1	b4	number	shape	color	four	cross	blue	2	0	0
3	1	4.0	audio	shape	cross	True	0	1	b3	shape	number	color	cross	three	yellow	3	0	0
4	1	10.0	audio	shape	star	True	0	0	b4	shape	color	number	star	blue	four	4	0	0
5	1	12.0	audio	color	yellow	True	0	0	b4	color	number	shape	yellow	three	cross	5	0	0
6	1	7.0	audio	shape	cross	True	0	1	b3	shape	number	color	cross	four	yellow	6	0	0
7	1	8.0	audio	number	four	True	0	1	b4	number	color	shape	four	blue	star	7	0	0
8	1	9.0	audio	shape	star	True	0	1	b4	shape	color	number	star	blue	three	8	0	0
9	1	5.5	text	shape	triangle	True	0	1	b2	number	shape	color	two	triangle	blue	9	0	0
10	1	0	text	color	green	False	1	0	b3	shape	color	number	cross	green	three	9	1	0
11	1	0	text	number	three	False	2	2	b2	color	number	shape	blue	three	triangle	9	1	1
12	1	5.66666666667	text	shape	triangle	True	0	2	b2	number	shape	color	two	triangle	blue	10	1	1
13	1	19.0	text	shape	triangle	True	0	0	b2	number	shape	color	three	triangle	green	11	1	1
14	1	21.0	text	shape	cross	True	0	0	b3	number	shape	color	two	cross	blue	12	1	1
15	1	23.0	text	number	three	True	0	0	b3	shape	number	color	triangle	three	blue	13	1	1
16	1	0	text	shape	triangle	False	2	0	b3	color	shape	number	blue	triangle	three	13	1	2
