Round	Level	 Score	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
0	1	1.5	audio	number	one	True	0	1	b1	number	color	shape	one	green	circle	1	0	0
1	1	1.25	audio	color	green	True	0	3	b2	color	shape	number	green	triangle	one	2	0	0
2	1	1.75	audio	shape	triangle	True	0	3	b2	shape	number	color	triangle	two	red	3	0	0
3	1	1.28571428571	audio	shape	circle	True	0	6	b1	shape	color	number	circle	green	two	4	0	0
3	1	0	audio	shape	circle	False	2	6	b1	shape	color	number	circle	green	two	4	0	1
5	1	0	audio	color	red	False	2	6	b1	color	shape	number	red	circle	two	4	0	2
5	1	0	audio	color	red	False	2	6	b1	color	shape	number	red	circle	two	4	0	3
7	1	0	audio	number	two	False	2	6	b1	number	color	shape	two	red	triangle	4	0	4
7	1	0	audio	number	two	False	2	6	b1	number	color	shape	two	red	triangle	4	0	5
9	1	0	audio	shape	circle	False	2	3	b2	shape	color	number	circle	green	two	4	0	6
10	1	0	audio	color	green	False	2	4	b1	color	shape	number	green	circle	two	4	0	7
11	1	25.0	audio	color	red	True	0	0	b1	color	number	shape	red	two	circle	5	0	7
12	1	0	audio	color	green	False	2	1	b1	color	number	shape	green	two	circle	5	0	8
13	1	0	audio	number	one	False	2	0	b2	number	shape	color	one	triangle	red	5	0	9
14	1	0	audio	number	one	False	2	1	b2	number	shape	color	one	circle	green	5	0	10
15	1	16.5	audio	number	one	True	0	1	b1	number	color	shape	one	green	circle	6	0	10
16	3	4.0	text	shape	cross	True	0	4	b3	number	shape	color	green	cross	red	7	0	10
