Round	Level	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	3	visual	color	yellow	False	1	2	b5	number	shape	color	magenta	circle	yellow	0	1	0
2	3	visual	shape	star	False	1	1	b5	color	number	shape	blue	magenta	star	0	2	0
3	3	visual	shape	circle	True	0	1	b1	number	color	shape	magenta	blue	circle	1	2	0
4	3	visual	number	magenta	True	0	1	b5	shape	color	number	cross	red	magenta	2	2	0
5	3	visual	number	four	True	0	1	b4	color	shape	number	blue	magenta	four	3	2	0
6	3	visual	number	one	True	0	1	b1	shape	color	number	star	blue	one	4	2	0
7	3	visual	shape	magenta	True	0	1	b5	number	color	shape	four	blue	magenta	5	2	0
8	2	audio	number	four	False	1	1	b2	number	color	shape	four	magenta	triangle	5	3	0
9	2	audio	shape	star	False	1	1	b5	shape	number	color	star	five	green	5	4	0
10	2	audio	number	five	True	0	2	b5	number	color	shape	five	yellow	triangle	6	4	0
11	2	audio	color	magenta	True	0	0	b5	color	number	shape	magenta	four	triangle	7	4	0
12	2	audio	number	two	True	0	1	b2	number	shape	color	two	heart	yellow	8	4	0
13	2	audio	color	magenta	True	0	1	b5	color	shape	number	magenta	triangle	four	9	4	0
14	2	audio	number	two	True	0	1	b2	number	shape	color	two	star	magenta	10	4	0
15	2	audio	shape	triangle	True	0	1	b2	shape	color	number	triangle	magenta	four	11	4	0
16	3	text	number	two	False	1	1	b5	color	number	shape	magenta	two	yellow	11	5	0
17	3	text	color	green	True	0	0	b2	number	color	shape	one	green	yellow	12	5	0
18	3	text	number	five	True	0	2	b5	color	number	shape	green	five	yellow	13	5	0
19	3	text	color	green	True	0	2	b2	shape	color	number	yellow	green	five	14	5	0
20	3	text	color	red	True	0	1	b1	number	color	shape	yellow	red	heart	15	5	0
21	3	text	number	one	True	0	1	b1	color	number	shape	magenta	one	yellow	16	5	0
22	3	text	shape	circle	True	0	0	b1	color	shape	number	yellow	circle	five	17	5	0
23	3	text	shape	heart	True	0	1	b5	color	shape	number	red	heart	two	18	5	0
24	4	visual	shape	star	False	1	2	b2	number	color	shape	five	green	star	18	6	0
25	4	visual	color	magenta	False	1	1	b1	shape	number	color	circle	two	magenta	18	7	0
26	4	visual	color	yellow	True	0	1	b4	number	shape	color	three	triangle	yellow	19	7	0
27	4	visual	number	one	True	0	1	b1	shape	color	number	star	magenta	one	20	7	0
28	4	visual	color	magenta	True	0	1	b5	shape	number	color	triangle	three	magenta	21	7	0
29	4	visual	number	five	True	0	1	b5	color	shape	number	green	circle	five	22	7	0
30	4	visual	shape	circle	False	2	1	b4	number	color	shape	four	green	circle	22	7	1
31	4	visual	color	red	True	0	1	b1	shape	number	color	heart	two	red	23	7	1
32	1	audio	color	green	False	1	0	b1	color	shape	number	green	circle	one	23	8	1
33	1	audio	shape	circle	False	1	1	b2	shape	number	color	circle	two	green	23	9	1
34	1	audio	shape	triangle	True	0	2	b2	shape	color	number	triangle	green	one	24	9	1
35	1	audio	color	green	True	0	1	b2	color	shape	number	green	circle	one	25	9	1
36	1	audio	shape	circle	True	0	1	b1	shape	number	color	circle	two	green	26	9	1
37	1	audio	color	red	True	0	1	b1	color	number	shape	red	two	triangle	27	9	1
38	1	audio	number	two	True	0	1	b2	number	shape	color	two	circle	green	28	9	1
39	1	audio	number	two	True	0	0	b2	number	color	shape	two	red	triangle	29	9	1
40	3	text	color	magenta	False	1	1	b3	shape	color	number	cross	magenta	yellow	29	10	1
41	3	text	color	yellow	True	0	3	b4	number	color	shape	five	yellow	cross	30	10	1
42	3	text	shape	cross	True	0	2	b3	color	shape	number	yellow	cross	five	31	10	1
43	3	text	color	green	True	0	1	b2	shape	color	number	yellow	green	three	32	10	1
44	3	text	color	blue	True	0	1	b3	shape	color	number	heart	blue	yellow	33	10	1
45	3	text	color	yellow	True	0	2	b4	shape	color	number	heart	yellow	three	34	10	1
46	3	text	color	magenta	True	0	1	b5	shape	color	number	triangle	magenta	yellow	35	10	1
47	3	text	color	blue	True	0	1	b3	shape	color	number	heart	blue	yellow	36	10	1
48	1	visual	shape	circle	False	1	1	b3	color	number	shape	blue	three	circle	36	11	1
49	1	visual	number	three	True	0	2	b3	color	shape	number	red	circle	three	37	11	1
50	1	visual	color	blue	True	0	0	b3	number	shape	color	one	circle	blue	38	11	1
51	1	visual	number	three	True	0	0	b3	shape	color	number	circle	blue	three	39	11	1
52	1	visual	number	three	True	0	0	b3	shape	color	number	cross	red	three	40	11	1
53	1	visual	number	three	True	0	0	b3	shape	color	number	cross	red	three	41	11	1
54	1	visual	color	red	True	0	1	b1	number	shape	color	one	cross	red	42	11	1
55	1	visual	color	blue	True	0	1	b3	shape	number	color	cross	one	blue	43	11	1
56	2	audio	shape	triangle	True	0	1	b2	shape	number	color	triangle	four	red	44	11	1
57	2	audio	shape	star	True	0	1	b4	shape	number	color	star	two	red	45	11	1
58	2	audio	shape	star	True	0	0	b4	shape	color	number	star	green	one	46	11	1
59	2	audio	shape	triangle	True	0	2	b2	shape	number	color	triangle	four	red	47	11	1
60	2	audio	shape	star	False	2	1	b2	shape	number	color	star	one	green	47	11	2
61	2	audio	shape	star	True	0	1	b4	shape	number	color	star	two	red	48	11	2
62	2	audio	shape	star	True	0	0	b4	shape	color	number	star	green	one	49	11	2
63	2	audio	number	one	True	0	1	b1	number	shape	color	one	triangle	yellow	50	11	2
