Round	Level	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	2	visual	number	three	False	1	2	b5	color	shape	number	magenta	triangle	three	0	1	0
2	2	visual	number	five	False	1	1	b3	color	shape	number	green	cross	five	0	2	0
3	2	visual	number	two	True	0	1	b2	color	shape	number	blue	heart	two	1	2	0
4	2	visual	number	two	True	0	0	b2	shape	color	number	cross	magenta	two	2	2	0
5	2	visual	color	magenta	True	0	1	b5	number	shape	color	three	triangle	magenta	3	2	0
6	2	visual	number	three	True	0	1	b3	shape	color	number	heart	green	three	4	2	0
7	2	visual	color	blue	True	0	1	b3	shape	number	color	triangle	five	blue	5	2	0
8	3	text	shape	circle	False	1	1	b2	number	shape	color	blue	circle	green	5	3	0
9	3	text	number	one	True	0	1	b1	shape	number	color	triangle	one	yellow	6	3	0
10	3	text	color	red	True	0	1	b1	number	color	shape	two	red	star	7	3	0
11	3	text	shape	blue	True	0	1	b3	number	shape	color	four	blue	red	8	3	0
12	3	text	number	one	True	0	1	b1	shape	number	color	blue	one	green	9	3	0
13	3	text	number	one	True	0	0	b1	color	number	shape	blue	one	triangle	10	3	0
14	3	text	shape	circle	True	0	1	b1	number	shape	color	blue	circle	green	11	3	0
15	3	text	number	four	True	0	2	b4	shape	number	color	triangle	four	blue	12	3	0
16	3	audio	shape	triangle	False	1	2	b4	shape	color	number	triangle	yellow	three	12	4	0
17	3	audio	color	green	False	1	2	b5	color	number	shape	green	three	heart	12	5	0
18	3	audio	shape	yellow	True	0	1	b4	shape	number	color	yellow	three	green	13	5	0
19	3	audio	number	yellow	True	0	0	b4	number	shape	color	yellow	heart	blue	14	5	0
20	3	audio	number	yellow	True	0	0	b4	number	shape	color	yellow	cross	green	15	5	0
21	3	audio	shape	yellow	True	0	0	b4	shape	number	color	yellow	two	magenta	16	5	0
22	3	audio	number	five	True	0	2	b5	number	shape	color	five	yellow	green	17	5	0
23	3	audio	shape	yellow	True	0	2	b4	shape	number	color	yellow	two	magenta	18	5	0
24	3	text	color	red	False	1	1	b5	shape	color	number	heart	red	blue	18	6	0
25	3	text	shape	triangle	True	0	1	b2	number	shape	color	five	triangle	red	19	6	0
26	3	text	number	two	True	0	0	b2	color	number	shape	blue	two	circle	20	6	0
27	3	text	shape	triangle	True	0	0	b2	number	shape	color	one	triangle	blue	21	6	0
28	3	text	number	five	True	0	1	b5	color	number	shape	green	five	circle	22	6	0
29	3	text	color	blue	True	0	1	b3	shape	color	number	triangle	blue	five	23	6	0
30	3	text	number	one	True	0	1	b1	color	number	shape	magenta	one	triangle	24	6	0
31	3	text	number	two	True	0	0	b2	shape	number	color	circle	two	magenta	25	6	0
32	4	audio	color	red	False	1	1	b5	color	shape	number	red	heart	four	25	7	0
33	4	audio	number	one	False	1	1	b5	number	shape	color	one	star	magenta	25	8	0
34	4	audio	number	three	True	0	1	b3	number	color	shape	three	magenta	star	26	8	0
35	4	audio	shape	star	True	0	1	b4	shape	number	color	star	three	red	27	8	0
36	4	audio	color	magenta	True	0	1	b5	color	number	shape	magenta	four	circle	28	8	0
37	4	audio	shape	heart	True	0	0	b5	shape	number	color	heart	two	red	29	8	0
38	4	audio	shape	cross	True	0	1	b3	shape	number	color	cross	four	magenta	30	8	0
39	4	audio	shape	triangle	True	0	1	b2	shape	color	number	triangle	magenta	three	31	8	0
40	1	visual	number	four	False	1	1	b3	shape	color	number	cross	blue	four	31	9	0
41	1	visual	shape	cross	True	0	1	b3	color	number	shape	blue	four	cross	32	9	0
42	1	visual	color	blue	True	0	0	b3	number	shape	color	four	star	blue	33	9	0
43	1	visual	color	blue	True	0	0	b3	shape	number	color	cross	four	blue	34	9	0
44	1	visual	number	three	True	0	1	b3	shape	color	number	star	blue	three	35	9	0
45	1	visual	shape	star	True	0	1	b4	number	color	shape	four	blue	star	36	9	0
46	1	visual	shape	cross	True	0	1	b3	color	number	shape	yellow	four	cross	37	9	0
47	1	visual	color	yellow	True	0	1	b4	number	shape	color	four	cross	yellow	38	9	0
48	1	audio	color	blue	False	1	1	b1	color	shape	number	blue	circle	one	38	10	0
49	1	audio	shape	cross	False	1	1	b1	shape	color	number	cross	red	one	38	11	0
50	1	audio	number	three	True	0	0	b3	number	shape	color	three	circle	red	39	11	0
51	1	audio	shape	cross	True	0	1	b3	shape	number	color	cross	one	blue	40	11	0
52	1	audio	number	three	True	0	0	b3	number	color	shape	three	red	circle	41	11	0
53	1	audio	shape	cross	True	0	0	b3	shape	color	number	cross	red	three	42	11	0
54	1	audio	number	one	True	0	1	b1	number	shape	color	one	cross	blue	43	11	0
55	1	audio	number	three	True	0	2	b3	number	color	shape	three	red	cross	44	11	0
56	3	visual	number	blue	False	1	1	b5	color	shape	number	magenta	triangle	blue	44	12	0
57	3	visual	number	blue	False	1	1	b5	color	shape	number	green	heart	blue	44	13	0
58	3	visual	color	yellow	True	0	1	b4	number	shape	color	five	blue	yellow	45	13	0
59	3	visual	number	blue	True	0	1	b3	color	shape	number	green	star	blue	46	13	0
60	3	visual	number	four	True	0	1	b4	color	shape	number	magenta	triangle	four	47	13	0
61	3	visual	color	blue	False	2	1	b2	number	shape	color	two	star	blue	47	13	1
62	3	visual	color	magenta	True	0	1	b5	number	shape	color	two	star	magenta	48	13	1
63	3	visual	shape	heart	True	0	1	b5	number	color	shape	two	yellow	heart	49	13	1
