Round	Level	 Score	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	3	1.0	visual	color	red	True	0	5	b1	number	shape	color	magenta	cross	red	1	0	0
2	3	2.66666666667	visual	number	two	True	0	2	b2	color	shape	number	red	magenta	two	2	0	0
3	3	3.33333333333	visual	number	magenta	True	0	2	b5	shape	color	number	triangle	red	magenta	3	0	0
4	3	4.0	visual	number	three	True	0	2	b3	shape	color	number	magenta	green	three	4	0	0
5	1	1.75	text	shape	circle	True	0	3	b1	color	shape	number	red	circle	two	5	0	0
6	1	0	text	number	two	False	1	1	b1	shape	number	color	circle	two	red	5	1	0
7	1	3.66666666667	text	number	one	True	0	2	b1	color	number	shape	green	one	triangle	6	1	0
8	1	13.0	text	shape	circle	True	0	0	b1	number	shape	color	two	circle	red	7	1	0
9	1	0	visual	number	four	False	1	2	b3	shape	color	number	cross	blue	four	7	2	0
10	1	6.5	visual	number	three	True	0	1	b3	shape	color	number	star	blue	three	8	2	0
11	1	7.5	visual	shape	cross	True	0	1	b3	number	color	shape	three	yellow	cross	9	2	0
12	1	17.0	visual	color	blue	True	0	0	b3	number	shape	color	four	cross	blue	10	2	0
13	4	18.0	audio	color	blue	True	0	0	b3	color	shape	number	blue	star	two	11	2	0
14	4	0	audio	color	red	False	1	4	b4	color	number	shape	red	two	cross	11	3	0
15	4	3.66666666667	audio	shape	cross	True	0	5	b3	shape	color	number	cross	red	two	12	3	0
16	4	0	audio	number	three	False	2	2	b4	number	shape	color	three	circle	magenta	12	3	1
