Round	Level	 Score	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	3	0	text	color	green	False	1	2	b3	shape	color	number	cross	green	four	0	1	0
2	3	4.0	text	color	red	True	0	1	b1	shape	color	number	green	red	four	1	1	0
3	3	5.0	text	number	one	True	0	1	b1	color	number	shape	blue	one	green	2	1	0
4	3	4.0	text	shape	circle	True	0	2	b1	number	shape	color	three	circle	green	3	1	0
5	3	4.66666666667	text	number	four	True	0	2	b4	color	number	shape	green	four	circle	4	1	0
6	3	8.0	text	shape	cross	True	0	1	b3	color	shape	number	yellow	cross	one	5	1	0
7	3	9.0	text	color	blue	True	0	1	b3	number	color	shape	one	blue	green	6	1	0
8	1	3.33333333333	audio	color	yellow	True	0	2	b4	color	number	shape	yellow	four	circle	7	1	0
9	1	6.0	audio	color	yellow	True	0	1	b4	color	shape	number	yellow	star	one	8	1	0
10	1	4.66666666667	audio	number	one	True	0	2	b1	number	color	shape	one	red	star	9	1	0
11	1	5.33333333333	audio	shape	star	True	0	2	b4	shape	color	number	star	yellow	one	10	1	0
12	1	0	audio	color	red	False	2	2	b4	color	number	shape	red	four	circle	10	1	1
13	1	5.0	audio	number	one	True	0	3	b1	number	color	shape	one	yellow	circle	11	1	1
14	1	11.0	audio	number	one	True	0	1	b1	number	shape	color	one	circle	yellow	12	1	1
15	1	8.0	audio	number	one	True	0	2	b1	number	color	shape	one	red	star	13	1	1
16	3	0	visual	number	four	False	1	2	b1	shape	color	number	circle	blue	four	13	2	1
