Round	Level	 Score	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	3	0	visual	color	green	False	1	2	b1	shape	number	color	circle	five	green	0	1	0
2	3	0	visual	shape	circle	False	1	3	b3	color	number	shape	blue	five	circle	0	2	0
3	3	5.0	visual	number	blue	True	0	1	b3	color	shape	number	magenta	circle	blue	1	2	0
4	3	6.0	visual	color	red	True	0	1	b1	shape	number	color	heart	two	red	2	2	0
5	3	0	audio	number	one	False	1	1	b4	number	color	shape	one	blue	yellow	2	3	0
6	3	1.83333333333	audio	shape	yellow	True	0	5	b4	shape	color	number	yellow	blue	five	3	3	0
7	3	6.5	audio	color	blue	True	0	1	b3	color	number	shape	blue	five	yellow	4	3	0
8	3	7.5	audio	number	five	True	0	1	b5	number	shape	color	five	yellow	blue	5	3	0
9	1	0	visual	shape	circle	False	1	1	b3	color	number	shape	blue	one	circle	5	4	0
10	1	6.5	visual	number	three	True	0	1	b3	color	shape	number	red	cross	three	6	4	0
11	1	7.5	visual	color	red	True	0	1	b1	number	shape	color	three	circle	red	7	4	0
12	1	8.5	visual	number	three	True	0	1	b3	color	shape	number	red	circle	three	8	4	0
13	3	0	audio	shape	yellow	False	1	1	b1	shape	number	color	yellow	two	red	8	5	0
14	3	0	audio	color	green	False	1	2	b1	color	shape	number	green	yellow	one	8	6	0
15	3	10.5	audio	shape	triangle	True	0	1	b2	shape	number	color	triangle	yellow	red	9	6	0
16	3	7.66666666667	audio	shape	heart	True	0	2	b5	shape	color	number	heart	green	one	10	6	0
