Round	Level	 Score	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	1	1.0	visual	shape	heart	True	0	3	b5	color	number	shape	magenta	one	heart	1	0	0
2	1	3.0	visual	shape	heart	True	0	1	b5	number	color	shape	five	red	heart	2	0	0
3	1	0	visual	color	red	False	2	1	b5	shape	number	color	heart	five	red	2	0	1
4	1	5.0	visual	color	red	True	0	1	b1	number	shape	color	five	heart	red	3	0	1
5	2	0	text	color	blue	False	1	2	b1	shape	color	number	circle	blue	two	3	1	1
6	2	2.5	text	shape	cross	True	0	3	b3	color	shape	number	red	cross	two	4	1	1
7	2	12.0	text	shape	cross	True	0	0	b3	color	shape	number	green	cross	one	5	1	1
8	2	4.66666666667	text	number	two	True	0	2	b2	color	number	shape	red	two	cross	6	1	1
9	1	2.2	audio	shape	cross	True	0	4	b3	shape	color	number	cross	red	three	7	1	1
10	1	4.33333333333	audio	number	one	True	0	2	b1	number	color	shape	one	blue	circle	8	1	1
11	1	0	audio	number	one	False	2	2	b3	number	color	shape	one	red	cross	8	1	2
12	1	17.0	audio	color	red	True	0	0	b1	color	number	shape	red	one	cross	9	1	2
13	1	5.0	text	number	three	True	0	2	b3	color	number	shape	yellow	three	cross	10	1	2
14	1	8.5	text	color	yellow	True	0	1	b4	number	color	shape	four	yellow	cross	11	1	2
15	1	9.5	text	shape	star	True	0	1	b4	color	shape	number	yellow	star	three	12	1	2
16	1	10.5	text	shape	star	True	0	1	b4	number	shape	color	three	star	blue	13	1	2
