Round	Level	 Score	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	1	0.8	visual	color	magenta	True	0	4	b5	number	shape	color	five	star	magenta	1	0	0
2	1	0	visual	color	magenta	False	1	3	b4	shape	number	color	star	four	magenta	1	1	0
3	1	2.66666666667	visual	color	magenta	True	0	2	b5	shape	number	color	star	four	magenta	2	1	0
4	1	5.0	visual	color	magenta	True	0	1	b5	shape	number	color	star	five	magenta	3	1	0
5	1	4.0	visual	color	yellow	True	0	2	b4	shape	number	color	star	five	yellow	4	1	0
6	1	3.5	visual	shape	star	True	0	3	b4	color	number	shape	yellow	five	star	5	1	0
7	1	4.0	visual	number	four	True	0	3	b4	color	shape	number	magenta	heart	four	6	1	0
8	4	2.6	text	color	yellow	True	0	4	b4	number	color	shape	two	yellow	cross	7	1	0
9	4	7.5	text	color	yellow	True	0	1	b4	number	color	shape	three	yellow	heart	8	1	0
10	4	5.66666666667	text	color	magenta	True	0	2	b5	number	color	shape	four	magenta	triangle	9	1	0
11	4	6.33333333333	text	number	three	True	0	2	b3	color	number	shape	yellow	three	circle	10	1	0
12	4	0	text	shape	triangle	False	2	2	b1	number	shape	color	one	triangle	magenta	10	1	1
13	4	0	text	color	green	False	2	4	b5	number	color	shape	five	green	cross	10	1	2
14	4	0	text	shape	star	False	2	3	b1	color	shape	number	red	star	three	10	1	3
15	4	13.5	text	color	blue	True	0	1	b3	number	color	shape	two	blue	heart	11	1	3
16	1	3.6	visual	shape	heart	True	0	4	b5	number	color	shape	one	red	heart	12	1	3
