Round	Level	 Score	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
0	3	1.25	audio	shape	circle	True	0	3	b1	shape	color	number	circle	yellow	magenta	1	0	0
1	3	1.75	audio	color	blue	True	0	3	b3	color	number	shape	blue	four	circle	2	0	0
2	3	4.5	audio	shape	star	True	0	1	b4	shape	number	color	star	one	magenta	3	0	0
3	3	3.66666666667	audio	shape	cross	True	0	2	b3	shape	number	color	cross	magenta	yellow	4	0	0
4	3	3.25	audio	color	red	True	0	3	b1	color	number	shape	red	four	cross	5	0	0
5	3	7.5	audio	shape	magenta	True	0	1	b5	shape	color	number	magenta	yellow	one	6	0	0
5	3	7.5	audio	shape	magenta	True	0	1	b5	shape	color	number	magenta	yellow	one	7	0	0
7	3	0	audio	number	three	False	2	6	b5	number	shape	color	three	star	magenta	7	0	1
7	3	0	audio	number	three	False	2	6	b5	number	shape	color	three	star	magenta	7	0	2
9	3	0	audio	shape	star	False	2	4	b3	shape	color	number	star	blue	one	7	0	3
10	3	0	audio	shape	circle	False	2	1	b4	shape	color	number	circle	blue	four	7	0	4
11	3	4.5	audio	shape	magenta	True	0	5	b5	shape	number	color	magenta	three	yellow	8	0	4
12	3	0	audio	color	magenta	False	2	2	b1	color	number	shape	magenta	three	circle	8	0	5
13	3	10.3333333333	audio	color	red	True	0	2	b1	color	number	shape	red	magenta	cross	9	0	5
14	3	16.5	audio	shape	circle	True	0	1	b1	shape	number	color	circle	magenta	blue	10	0	5
15	3	0	audio	number	magenta	False	2	0	b1	number	color	shape	magenta	blue	circle	10	0	6
16	3	0	audio	shape	cross	False	2	1	b1	shape	number	color	cross	four	magenta	10	0	7
