Round	Level	 Score	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	1	1.33333333333	text	color	red	True	0	2	b1	number	color	shape	one	red	heart	1	0	0
2	1	3.0	text	shape	heart	True	0	1	b5	color	shape	number	magenta	heart	one	2	0	0
3	1	2.0	text	color	red	True	0	3	b1	number	color	shape	one	red	heart	3	0	0
4	1	0	text	color	red	False	2	2	b5	number	color	shape	five	red	circle	3	0	1
5	1	3.0	text	number	five	True	0	3	b5	color	number	shape	magenta	five	circle	4	0	1
6	1	0	text	shape	heart	False	2	4	b1	color	shape	number	red	heart	five	4	0	2
7	1	0	text	number	one	False	2	1	b5	color	number	shape	magenta	one	heart	4	0	3
8	1	4.5	text	number	five	True	0	3	b5	shape	number	color	heart	five	red	5	0	3
9	1	5.5	visual	number	two	True	0	1	b2	shape	color	number	triangle	blue	two	6	0	3
10	1	0	visual	shape	cross	False	1	0	b2	number	color	shape	two	green	cross	6	1	3
11	1	15.0	visual	shape	cross	True	0	0	b3	color	number	shape	blue	two	cross	7	1	3
12	1	0	visual	shape	cross	False	2	1	b2	color	number	shape	green	two	cross	7	1	4
13	1	9.5	visual	number	two	True	0	1	b2	shape	color	number	triangle	blue	two	8	1	4
14	1	0	visual	color	blue	False	2	0	b2	number	shape	color	three	triangle	blue	8	1	5
15	1	23.0	visual	shape	cross	True	0	0	b3	color	number	shape	green	two	cross	9	1	5
16	1	0	visual	number	two	False	2	2	b3	shape	color	number	cross	green	two	9	1	6
