Round	Level	 Score	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	4	0	text	color	blue	False	1	2	b2	shape	color	number	triangle	blue	one	0	1	0
2	4	3.0	text	shape	circle	True	0	2	b1	color	shape	number	yellow	circle	three	1	1	0
3	4	5.5	text	number	four	True	0	1	b4	color	number	shape	red	four	triangle	2	1	0
4	4	6.5	text	color	magenta	True	0	1	b5	number	color	shape	one	magenta	star	3	1	0
5	3	0	audio	color	yellow	False	1	2	b2	color	number	shape	yellow	two	circle	3	2	0
6	3	0	audio	number	two	False	1	1	b4	number	color	shape	two	blue	yellow	3	3	0
7	3	6.5	audio	number	three	True	0	1	b3	number	shape	color	three	triangle	yellow	4	3	0
8	3	7.5	audio	shape	triangle	True	0	1	b2	shape	number	color	triangle	one	yellow	5	3	0
9	1	3.66666666667	visual	shape	star	True	0	2	b4	color	number	shape	yellow	two	star	6	3	0
10	1	0	visual	color	green	False	1	1	b4	number	shape	color	four	triangle	green	6	4	0
11	1	7.5	visual	number	four	True	0	1	b4	shape	color	number	star	green	four	7	4	0
12	1	0	visual	color	green	False	2	0	b4	shape	number	color	star	two	green	7	4	1
13	1	0	visual	shape	star	False	2	1	b2	color	number	shape	green	four	star	7	4	2
14	1	5.25	visual	number	two	True	0	3	b2	color	shape	number	green	star	two	8	4	2
15	1	4.6	visual	color	yellow	True	0	4	b4	shape	number	color	triangle	four	yellow	9	4	2
16	1	0	visual	number	two	False	2	3	b4	shape	color	number	star	yellow	two	9	4	3
