Round	Level	 Score	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
0	1	1.0	audio	number	three	True	0	2	b3	number	shape	color	three	cross	yellow	1	0	0
1	1	2.5	audio	color	blue	True	0	1	b3	color	shape	number	blue	star	four	2	0	0
2	1	3.5	audio	number	three	True	0	1	b3	number	shape	color	three	cross	yellow	3	0	0
3	1	4.5	audio	color	blue	True	0	1	b3	color	number	shape	blue	three	star	4	0	0
4	1	5.5	audio	color	blue	True	0	1	b3	color	number	shape	blue	four	star	5	0	0
5	1	6.5	audio	number	three	True	0	1	b3	number	shape	color	three	star	blue	6	0	0
6	1	5.0	audio	shape	cross	True	0	2	b3	shape	number	color	cross	three	yellow	7	0	0
7	1	8.5	audio	number	three	True	0	1	b3	number	shape	color	three	star	blue	8	0	0
8	1	0	text	number	one	False	1	2	b2	color	number	shape	green	one	circle	8	1	0
9	1	0	text	number	two	False	1	4	b1	color	number	shape	green	two	circle	8	2	0
10	1	0	text	shape	circle	False	2	1	b2	number	shape	color	two	circle	green	8	2	1
11	1	4.0	text	color	green	True	0	3	b2	number	color	shape	one	green	triangle	9	2	1
12	1	6.0	text	color	green	True	0	2	b2	shape	color	number	circle	green	one	10	2	1
13	1	6.66666666667	text	number	two	True	0	2	b2	shape	number	color	circle	two	green	11	2	1
14	1	0	text	number	one	False	2	3	b2	color	number	shape	green	one	circle	11	2	2
15	1	0	text	color	green	False	2	2	b1	shape	color	number	circle	green	one	11	2	3
16	1	13.0	text	number	two	True	0	1	b2	shape	number	color	triangle	two	red	12	2	3
