Round	Level	 Score	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
0	3	1.0	text	number	three	True	0	4	b3	shape	number	color	green	three	red	1	0	0
1	3	1.75	text	number	five	True	0	3	b5	shape	number	color	circle	five	blue	2	0	0
2	3	2.25	text	color	magenta	True	0	3	b5	number	color	shape	green	magenta	cross	3	0	0
3	3	3.66666666667	text	shape	circle	True	0	2	b1	number	shape	color	green	circle	blue	4	0	0
4	3	4.33333333333	text	number	green	True	0	2	b2	shape	number	color	cross	green	magenta	5	0	0
5	3	5.0	text	color	blue	True	0	2	b3	shape	color	number	green	blue	one	6	0	0
6	3	8.5	text	shape	green	True	0	1	b2	color	shape	number	blue	green	one	7	0	0
7	3	9.5	text	number	one	True	0	1	b1	color	number	shape	magenta	one	green	8	0	0
8	3	3.0	visual	shape	red	True	0	3	b1	color	number	shape	blue	four	red	9	0	0
9	3	7.0	visual	number	four	True	0	1	b4	shape	color	number	heart	red	four	10	0	0
10	3	8.0	visual	color	yellow	True	0	1	b4	number	shape	color	five	red	yellow	11	0	0
11	3	9.0	visual	shape	heart	True	0	1	b5	number	color	shape	four	red	heart	12	0	0
12	3	6.66666666667	visual	color	red	True	0	2	b1	shape	number	color	cross	five	red	13	0	0
13	3	5.5	visual	number	red	True	0	3	b1	color	shape	number	blue	heart	red	14	0	0
14	3	0	visual	shape	star	False	2	6	b1	number	color	shape	red	magenta	star	14	0	1
14	3	3.42857142857	visual	shape	star	True	0	6	b4	number	color	shape	red	magenta	star	15	0	1
16	2	3.8	text	color	green	True	0	4	b2	number	color	shape	three	green	heart	16	0	1
