Round	Level	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	3	text	color	blue	False	1	3	b2	shape	color	number	triangle	blue	magenta	0	1	0
2	3	text	shape	circle	True	0	1	b1	color	shape	number	blue	circle	two	1	1	0
3	3	text	shape	magenta	True	0	2	b5	color	shape	number	green	magenta	one	2	1	0
4	3	text	number	three	True	0	1	b3	shape	number	color	magenta	three	red	3	1	0
5	3	text	shape	cross	True	0	0	b3	number	shape	color	magenta	cross	red	4	1	0
6	3	text	number	one	True	0	1	b1	color	number	shape	magenta	one	cross	5	1	0
7	3	text	shape	triangle	True	0	1	b2	color	shape	number	magenta	triangle	three	6	1	0
8	1	visual	shape	star	False	1	1	b2	color	number	shape	green	two	star	6	2	0
9	1	visual	number	two	True	0	1	b2	color	shape	number	yellow	triangle	two	7	2	0
10	1	visual	shape	triangle	True	0	0	b2	number	color	shape	two	yellow	triangle	8	2	0
11	1	visual	number	two	True	0	0	b2	shape	color	number	star	green	two	9	2	0
12	1	visual	shape	triangle	True	0	0	b2	number	color	shape	two	yellow	triangle	10	2	0
13	1	visual	shape	star	True	0	1	b4	color	number	shape	green	four	star	11	2	0
14	1	visual	number	two	True	0	2	b2	shape	color	number	star	yellow	two	12	2	0
15	1	visual	number	four	True	0	1	b4	color	shape	number	yellow	triangle	four	13	2	0
16	1	audio	shape	star	False	1	1	b3	shape	color	number	star	yellow	three	13	3	0
17	1	audio	number	four	False	1	1	b3	number	color	shape	four	blue	cross	13	4	0
18	1	audio	shape	cross	True	0	1	b3	shape	color	number	cross	yellow	four	14	4	0
19	1	audio	color	blue	True	0	0	b3	color	number	shape	blue	four	star	15	4	0
20	1	audio	number	four	True	0	1	b4	number	shape	color	four	cross	blue	16	4	0
21	1	audio	shape	cross	True	0	1	b3	shape	number	color	cross	four	blue	17	4	0
22	1	audio	color	yellow	True	0	1	b4	color	shape	number	yellow	cross	three	18	4	0
23	1	audio	color	blue	True	0	1	b3	color	number	shape	blue	four	star	19	4	0
24	0	text	number	two	True	0	1	b2	color	number	shape	green	two	triangle	20	4	0
25	0	text	shape	triangle	True	0	0	b2	number	shape	color	two	triangle	green	21	4	0
26	0	text	shape	triangle	True	0	0	b2	number	shape	color	two	triangle	green	22	4	0
27	0	text	shape	triangle	True	0	1	b2	color	shape	number	green	triangle	two	23	4	0
28	0	text	number	two	True	0	0	b2	color	number	shape	green	two	triangle	24	4	0
29	0	text	color	green	True	0	1	b2	shape	color	number	triangle	green	two	25	4	0
30	0	text	number	two	True	0	0	b2	shape	number	color	triangle	two	green	26	4	0
31	0	text	number	two	True	0	1	b2	shape	number	color	triangle	two	green	27	4	0
32	1	visual	shape	star	False	1	2	b5	color	number	shape	magenta	five	star	27	5	0
33	1	visual	shape	heart	False	1	3	b4	number	color	shape	five	yellow	heart	27	6	0
34	1	visual	number	four	True	0	2	b4	color	shape	number	magenta	heart	four	28	6	0
35	1	visual	color	magenta	True	0	1	b5	number	shape	color	four	star	magenta	29	6	0
36	1	visual	number	four	True	0	1	b4	shape	color	number	star	magenta	four	30	6	0
37	1	visual	number	five	True	0	2	b5	color	shape	number	yellow	heart	five	31	6	0
38	1	visual	shape	star	True	0	1	b4	number	color	shape	five	magenta	star	32	6	0
39	1	visual	number	five	True	0	1	b5	shape	color	number	heart	yellow	five	33	6	0
40	3	audio	shape	star	False	1	1	b2	shape	number	color	star	three	green	33	7	0
41	3	audio	number	one	False	1	2	b4	number	shape	color	one	star	green	33	8	0
42	3	audio	number	one	True	0	0	b1	number	shape	color	one	star	blue	34	8	0
43	3	audio	color	blue	True	0	2	b3	color	shape	number	blue	green	one	35	8	0
44	3	audio	number	three	True	0	1	b3	number	shape	color	three	green	yellow	36	8	0
45	3	audio	number	one	True	0	1	b1	number	shape	color	one	green	yellow	37	8	0
46	3	audio	shape	green	True	0	1	b2	shape	color	number	green	blue	four	38	8	0
47	3	audio	number	green	True	0	0	b2	number	shape	color	green	circle	yellow	39	8	0
48	0	text	color	red	True	0	1	b1	number	color	shape	one	red	circle	40	8	0
49	0	text	color	red	True	0	0	b1	number	color	shape	one	red	circle	41	8	0
50	0	text	color	red	True	0	0	b1	shape	color	number	circle	red	one	42	8	0
51	0	text	number	one	True	0	0	b1	shape	number	color	circle	one	red	43	8	0
52	0	text	color	red	True	0	0	b1	number	color	shape	one	red	circle	44	8	0
53	0	text	number	one	True	0	0	b1	color	number	shape	red	one	circle	45	8	0
54	0	text	number	one	True	0	0	b1	shape	number	color	circle	one	red	46	8	0
55	0	text	number	one	True	0	0	b1	color	number	shape	red	one	circle	47	8	0
56	0	audio	number	one	True	0	0	b1	number	shape	color	one	circle	red	48	8	0
57	0	audio	shape	circle	True	0	0	b1	shape	color	number	circle	red	one	49	8	0
58	0	audio	shape	circle	True	0	0	b1	shape	number	color	circle	one	red	50	8	0
59	0	audio	number	one	True	0	0	b1	number	color	shape	one	red	circle	51	8	0
60	0	audio	number	one	True	0	0	b1	number	color	shape	one	red	circle	52	8	0
61	0	audio	color	red	True	0	0	b1	color	number	shape	red	one	circle	53	8	0
62	0	audio	number	one	True	0	0	b1	number	shape	color	one	circle	red	54	8	0
63	0	audio	number	one	True	0	0	b1	number	shape	color	one	circle	red	55	8	0
